unique_id,time_interval,units_fulfilled,incoming_demand,variable,value,delay
9.0,6.0,52500.0,52500.0,1,0.0,5.0
9.0,7.0,56000.0,56000.0,1,0.0,6.0
9.0,8.0,42000.0,42000.0,1,0.0,7.0
9.0,9.0,38500.0,38500.0,1,0.0,8.0
9.0,10.0,12750.0,29750.0,1,0.0,9.0
9.0,11.0,0.0,28000.0,1,0.0,10.0
9.0,12.0,0.0,28000.0,1,0.0,11.0
10.0,1.0,17500.0,17500.0,1,17500.0,0.0
10.0,2.0,17500.0,19250.0,1,0.0,1.0
10.0,3.0,22750.0,21000.0,1,0.0,2.0
10.0,4.0,35000.0,35000.0,1,0.0,3.0
10.0,5.0,38500.0,38500.0,1,0.0,4.0
10.0,6.0,52500.0,52500.0,1,0.0,5.0
10.0,7.0,56000.0,56000.0,1,0.0,6.0
10.0,8.0,42000.0,42000.0,1,0.0,7.0
10.0,9.0,38500.0,38500.0,1,0.0,8.0
10.0,10.0,29750.000000000022,29750.0,1,0.0,9.0
10.0,11.0,12750.0,28000.0,1,0.0,10.0
10.0,12.0,0.0,28000.0,1,0.0,11.0
11.0,1.0,17500.0,17500.0,1,17500.0,0.0
11.0,2.0,17500.0,19250.0,1,0.0,1.0
11.0,3.0,22750.0,21000.0,1,0.0,2.0
11.0,4.0,35000.0,35000.0,1,0.0,3.0
11.0,5.0,38500.0,38500.0,1,0.0,4.0
11.0,6.0,52500.0,52500.0,1,0.0,5.0
11.0,7.0,56000.0,56000.0,1,0.0,6.0
11.0,8.0,42000.0,42000.0,1,0.0,7.0
11.0,9.0,38500.0,38500.0,1,0.0,8.0
11.0,10.0,29750.0,29750.0,1,0.0,9.0
11.0,11.0,28000.0,28000.0,1,0.0,10.0
11.0,12.0,12750.0,28000.0,1,0.0,11.0
12.0,1.0,17500.0,17500.0,1,17500.0,0.0
12.0,2.0,17500.0,19250.0,1,0.0,1.0
12.0,3.0,22750.0,21000.0,1,0.0,2.0
12.0,4.0,35000.0,35000.0,1,0.0,3.0
12.0,5.0,38500.0,38500.0,1,0.0,4.0
12.0,6.0,52500.0,52500.0,1,0.0,5.0
12.0,7.0,56000.0,56000.0,1,0.0,6.0
12.0,8.0,42000.0,42000.0,1,0.0,7.0
12.0,9.0,38500.0,38500.0,1,0.0,8.0
12.0,10.0,29750.0,29750.0,1,0.0,9.0
12.0,11.0,28000.0,28000.0,1,0.0,10.0
12.0,12.0,28000.0,28000.0,1,0.0,11.0
13.0,1.0,17500.0,17500.0,1,17500.0,0.0
13.0,2.0,17500.0,19250.0,1,0.0,1.0
13.0,3.0,22750.0,21000.0,1,0.0,2.0
13.0,4.0,35000.0,35000.0,1,0.0,3.0
13.0,5.0,38500.0,38500.0,1,0.0,4.0
13.0,6.0,52500.0,52500.0,1,0.0,5.0
13.0,7.0,56000.0,56000.0,1,0.0,6.0
13.0,8.0,42000.0,42000.0,1,0.0,7.0
13.0,9.0,38500.0,38500.0,1,0.0,8.0
13.0,10.0,29750.0,29750.0,1,0.0,9.0
13.0,11.0,28000.0,28000.0,1,0.0,10.0
13.0,12.0,28000.0,28000.0,1,0.0,11.0
14.0,1.0,17500.0,17500.0,1,17500.0,0.0
14.0,2.0,17500.0,19250.0,1,0.0,1.0
14.0,3.0,22750.0,21000.0,1,0.0,2.0
14.0,4.0,35000.0,35000.0,1,0.0,3.0
14.0,5.0,38500.0,38500.0,1,0.0,4.0
14.0,6.0,52500.0,52500.0,1,0.0,5.0
14.0,7.0,56000.0,56000.0,1,0.0,6.0
14.0,8.0,42000.0,42000.0,1,0.0,7.0
14.0,9.0,38500.0,38500.0,1,0.0,8.0
14.0,10.0,29750.0,29750.0,1,0.0,9.0
14.0,11.0,28000.00000000001,28000.0,1,0.0,10.0
14.0,12.0,27999.999999999993,28000.0,1,0.0,11.0
15.0,1.0,17500.0,17500.0,1,17500.0,0.0
15.0,2.0,17500.0,19250.0,1,0.0,1.0
15.0,3.0,22750.0,21000.0,1,0.0,2.0
15.0,4.0,35000.0,35000.0,1,0.0,3.0
15.0,5.0,38500.0,38500.0,1,0.0,4.0
15.0,6.0,52500.0,52500.0,1,0.0,5.0
15.0,7.0,56000.0,56000.0,1,0.0,6.0
15.0,8.0,42000.0,42000.0,1,0.0,7.0
15.0,9.0,38500.0,38500.0,1,0.0,8.0
15.0,10.0,29750.0,29750.0,1,0.0,9.0
15.0,11.0,28000.0,28000.0,1,0.0,10.0
15.0,12.0,28000.0,28000.0,1,0.0,11.0
16.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
16.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
16.0,3.0,10750.0,22757.359312880715,1,0.0,2.0
16.0,4.0,13250.0,37928.932188134524,1,0.0,3.0
16.0,5.0,0.0,41721.82540694798,1,0.0,4.0
16.0,6.0,0.0,56893.398282201786,1,0.0,5.0
16.0,7.0,0.0,60686.291501015236,1,0.0,6.0
16.0,8.0,0.0,45514.71862576143,1,0.0,7.0
16.0,9.0,0.0,41721.82540694798,1,0.0,8.0
16.0,10.0,0.0,32239.592359914346,1,0.0,9.0
16.0,11.0,0.0,30343.145750507618,1,0.0,10.0
16.0,12.0,0.0,30343.145750507618,1,0.0,11.0
17.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
17.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
17.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
17.0,4.0,25000.0,37928.932188134524,1,0.0,3.0
17.0,5.0,13750.0,41721.82540694798,1,0.0,4.0
17.0,6.0,0.0,56893.398282201786,1,0.0,5.0
17.0,7.0,0.0,60686.291501015236,1,0.0,6.0
17.0,8.0,0.0,45514.71862576143,1,0.0,7.0
17.0,9.0,0.0,41721.82540694798,1,0.0,8.0
17.0,10.0,0.0,32239.592359914346,1,0.0,9.0
17.0,11.0,0.0,30343.145750507618,1,0.0,10.0
17.0,12.0,0.0,30343.145750507618,1,0.0,11.0
18.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
18.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
18.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
18.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
18.0,5.0,26500.0,41721.82540694798,1,0.0,4.0
18.0,6.0,14250.0,56893.398282201786,1,0.0,5.0
18.0,7.0,0.0,60686.291501015236,1,0.0,6.0
18.0,8.0,0.0,45514.71862576143,1,0.0,7.0
18.0,9.0,0.0,41721.82540694798,1,0.0,8.0
18.0,10.0,0.0,32239.592359914346,1,0.0,9.0
18.0,11.0,0.0,30343.145750507618,1,0.0,10.0
18.0,12.0,0.0,30343.145750507618,1,0.0,11.0
19.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
19.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
19.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
19.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
19.0,5.0,43833.33333333333,41721.82540694798,1,0.0,4.0
19.0,6.0,24583.333333333332,56893.398282201786,1,0.0,5.0
19.0,7.0,0.0,60686.291501015236,1,0.0,6.0
19.0,8.0,0.0,45514.71862576143,1,0.0,7.0
19.0,9.0,0.0,41721.82540694798,1,0.0,8.0
19.0,10.0,0.0,32239.592359914346,1,0.0,9.0
19.0,11.0,0.0,30343.145750507618,1,0.0,10.0
19.0,12.0,0.0,30343.145750507618,1,0.0,11.0
20.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
20.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
20.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
20.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
20.0,5.0,45983.49570550448,41721.82540694798,1,0.0,4.0
20.0,6.0,41033.00858899108,56893.398282201786,1,0.0,5.0
20.0,7.0,16099.83762782885,60686.291501015236,1,0.0,6.0
20.0,8.0,0.0,45514.71862576143,1,0.0,7.0
20.0,9.0,0.0,41721.82540694798,1,0.0,8.0
20.0,10.0,0.0,32239.592359914346,1,0.0,9.0
20.0,11.0,0.0,30343.145750507618,1,0.0,10.0
20.0,12.0,0.0,30343.145750507618,1,0.0,11.0
21.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
21.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
21.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
21.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
21.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
21.0,6.0,56683.17096116217,56893.398282201786,1,0.0,5.0
21.0,7.0,25416.666666666668,60686.291501015236,1,0.0,6.0
21.0,8.0,0.0,45514.71862576143,1,0.0,7.0
21.0,9.0,0.0,41721.82540694798,1,0.0,8.0
21.0,10.0,0.0,32239.592359914346,1,0.0,9.0
21.0,11.0,0.0,30343.145750507618,1,0.0,10.0
21.0,12.0,0.0,30343.145750507618,1,0.0,11.0
22.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
22.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
22.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
22.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
