unique_id,time_interval,units_fulfilled,incoming_demand,1,2,3,4,5,6,7,8,9,10,11,12,units_UNfulfilled
0.0,1.0,17500.0,17500.0,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,19250.000000000015,19250.0,0.0,19250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,20999.99999999999,21000.0,0.0,1.4551915228366852e-11,20999.999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,34499.99999999997,35000.0,0.0,0.0,3.637978807091713e-12,34499.99999999997,500.0000000000291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,39000.0,38500.0,0.0,0.0,0.0,0.0,38499.99999999997,2.9103830456733704e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,33454.16666666667,52500.0,0.0,0.0,0.0,0.0,0.0,33454.16666666664,17979.166666666693,1066.6666666666642,0.0,0.0,0.0,0.0,0.0
0.0,7.0,17979.166666666693,56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5054.166666666676,595.833333333333,0.0,-4.04853764291162e-12,0.0,50349.99999999999
0.0,8.0,6120.83333333334,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0
0.0,9.0,595.833333333333,38500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38500.0
0.0,10.0,0.0,29750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29750.0
0.0,11.0,-4.04853764291162e-12,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0
0.0,12.0,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0
1.0,1.0,17500.0,17500.0,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,19249.99999999986,19250.0,0.0,19249.99999999986,1.382431946694851e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,20999.99999999999,21000.0,0.0,0.0,20999.99999999985,1.4915713109076023e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,31277.777777777803,35000.0,0.0,0.0,0.0,31277.777777777654,3722.2222222223463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,42222.222222222204,38500.0,0.0,0.0,0.0,0.0,38499.999999999854,1.4551915228366852e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,49999.99999999999,52500.0,0.0,0.0,0.0,0.0,0.0,49999.99999999985,2500.000000000153,0.0,0.0,0.0,0.0,0.0,0.0
