,item_type,supplier,time_interval,units_to_order,expected_units_recieved
226,2,10,7,0,0
227,2,10,8,0,0
228,2,10,9,0,0
229,2,10,10,0,0
230,2,12,1,0,0
231,2,12,2,0,0
232,2,12,3,0,0
233,2,12,4,0,0
234,2,12,5,0,0
235,2,12,6,0,0
236,2,12,7,0,0
237,2,12,8,0,0
238,2,12,9,0,0
239,2,12,10,0,0
240,2,15,1,0,0
241,2,15,2,0,0
242,2,15,3,0,0
243,2,15,4,0,0
244,2,15,5,0,0
245,2,15,6,0,0
246,2,15,7,0,0
247,2,15,8,0,0
248,2,15,9,0,0
249,2,15,10,0,0
250,2,17,1,0,0
251,2,17,2,0,0
252,2,17,3,0,0
253,2,17,4,0,0
254,2,17,5,0,0
255,2,17,6,0,0
256,2,17,7,0,0
257,2,17,8,0,0
258,2,17,9,0,0
259,2,17,10,0,0
260,3,1,1,0,0
261,3,1,2,0,0
262,3,1,3,0,0
263,3,1,4,0,0
264,3,1,5,0,0
265,3,1,6,0,0
266,3,1,7,0,0
267,3,1,8,0,0
268,3,1,9,0,0
269,3,1,10,0,0
270,3,2,1,0,0
271,3,2,2,0,0
272,3,2,3,0,0
273,3,2,4,0,0
274,3,2,5,0,0
275,3,2,6,0,0
276,3,2,7,0,0
277,3,2,8,0,0
278,3,2,9,0,0
279,3,2,10,0,0
280,3,3,1,0,0
281,3,3,2,0,0
282,3,3,3,0,0
283,3,3,4,0,0
284,3,3,5,0,0
285,3,3,6,0,0
286,3,3,7,0,0
287,3,3,8,0,0
288,3,3,9,0,0
289,3,3,10,0,0
290,3,4,1,0,0
291,3,4,2,0,0
292,3,4,3,0,0
293,3,4,4,0,0
294,3,4,5,0,0
295,3,4,6,0,0
296,3,4,7,0,0
297,3,4,8,0,0
298,3,4,9,0,0
299,3,4,10,0,0
300,3,5,1,0,0
301,3,5,2,0,0
302,3,5,3,0,0
303,3,5,4,0,0
304,3,5,5,0,0
305,3,5,6,0,0
306,3,5,7,0,0
307,3,5,8,0,0
308,3,5,9,0,0
309,3,5,10,0,0
310,3,6,1,14400,0
311,3,6,2,14400,0
312,3,6,3,14400,601
313,3,6,4,14400,14400
314,3,6,5,14400,14400
315,3,6,6,14400,14400
316,3,6,7,14400,14400
317,3,6,8,0,14400
318,3,6,9,0,14400
319,3,6,10,0,13799
320,3,7,1,0,0
321,3,7,2,0,0
322,3,7,3,0,0
323,3,7,4,0,0
324,3,7,5,0,0
325,3,7,6,0,0
326,3,7,7,0,0
327,3,7,8,0,0
328,3,7,9,0,0
329,3,7,10,0,0
330,3,8,1,1080,0
331,3,8,2,1080,900
332,3,8,3,1080,908
333,3,8,4,1080,912
334,3,8,5,1080,916
335,3,8,6,1080,919
336,3,8,7,1080,922
337,3,8,8,1080,924
338,3,8,9,0,927
339,3,8,10,0,29
340,3,9,1,0,0
341,3,9,2,0,0
342,3,9,3,0,0
343,3,9,4,0,0
344,3,9,5,0,0
345,3,9,6,0,0
346,3,9,7,0,0
347,3,9,8,0,0
348,3,9,9,0,0
349,3,9,10,0,0
350,3,10,1,0,0
351,3,10,2,0,0
352,3,10,3,0,0
353,3,10,4,0,0
354,3,10,5,0,0
355,3,10,6,0,0
356,3,10,7,0,0
357,3,10,8,0,0
358,3,10,9,0,0
359,3,10,10,0,0
360,3,12,1,0,0
361,3,12,2,0,0
362,3,12,3,0,0
363,3,12,4,0,0
364,3,12,5,0,0
365,3,12,6,0,0
366,3,12,7,0,0
367,3,12,8,0,0
368,3,12,9,0,0
369,3,12,10,0,0
370,3,15,1,0,0
371,3,15,2,0,0
372,3,15,3,0,0
373,3,15,4,0,0
374,3,15,5,0,0
375,3,15,6,0,0
376,3,15,7,0,0
377,3,15,8,0,0
378,3,15,9,0,0
379,3,15,10,0,0
380,3,17,1,0,0
381,3,17,2,0,0
382,3,17,3,0,0
383,3,17,4,0,0
384,3,17,5,0,0
385,3,17,6,0,0
386,3,17,7,0,0
387,3,17,8,0,0
388,3,17,9,0,0
389,3,17,10,0,0
390,4,1,1,0,0
391,4,1,2,0,0
392,4,1,3,0,0
393,4,1,4,0,0
394,4,1,5,0,0
395,4,1,6,0,0
396,4,1,7,0,0
397,4,1,8,0,0
398,4,1,9,0,0
399,4,1,10,0,0
400,4,2,1,0,0
401,4,2,2,0,0
402,4,2,3,0,0
403,4,2,4,0,0
404,4,2,5,0,0
405,4,2,6,0,0
406,4,2,7,0,0
407,4,2,8,0,0
408,4,2,9,0,0
409,4,2,10,0,0
410,4,3,1,0,0
411,4,3,2,0,0
412,4,3,3,0,0
413,4,3,4,0,0
414,4,3,5,0,0
415,4,3,6,0,0
416,4,3,7,0,0
417,4,3,8,0,0
418,4,3,9,0,0
419,4,3,10,0,0
420,4,4,1,0,0
421,4,4,2,0,0
422,4,4,3,0,0
423,4,4,4,0,0
424,4,4,5,0,0
425,4,4,6,0,0
426,4,4,7,0,0
427,4,4,8,0,0
428,4,4,9,0,0
429,4,4,10,0,0
430,4,5,1,0,0
431,4,5,2,0,0
432,4,5,3,0,0
433,4,5,4,0,0
434,4,5,5,0,0
435,4,5,6,0,0
436,4,5,7,0,0
437,4,5,8,0,0
438,4,5,9,0,0
439,4,5,10,0,0
440,4,6,1,0,0
441,4,6,2,0,0
442,4,6,3,0,0
443,4,6,4,0,0
444,4,6,5,0,0
445,4,6,6,0,0
446,4,6,7,0,0
447,4,6,8,0,0
448,4,6,9,0,0
449,4,6,10,0,0
450,4,7,1,0,0
451,4,7,2,0,0
452,4,7,3,0,0
453,4,7,4,0,0
454,4,7,5,0,0
455,4,7,6,0,0
456,4,7,7,0,0
457,4,7,8,0,0
458,4,7,9,0,0
459,4,7,10,0,0
460,4,8,1,0,0
461,4,8,2,0,0
462,4,8,3,0,0
463,4,8,4,0,0
464,4,8,5,0,0
465,4,8,6,0,0
466,4,8,7,0,0
467,4,8,8,0,0
468,4,8,9,0,0
469,4,8,10,0,0
470,4,9,1,18010,0
471,4,9,2,18010,1876
472,4,9,3,18010,3222
473,4,9,4,18010,4438
474,4,9,5,18010,5588
475,4,9,6,18010,6699
476,4,9,7,18010,7790
477,4,9,8,18010,8872
478,4,9,9,0,9957
479,4,9,10,0,9180
480,4,10,1,270,0
481,4,10,2,270,270
482,4,10,3,270,270
483,4,10,4,270,270
484,4,10,5,270,270
485,4,10,6,270,270
486,4,10,7,270,270
